category,name,full_name,url,stars,last_commit,language,license,archived,description
Platforms And Software,OpenAI Evals,openai/evals,https://github.com/openai/evals,19183,2026-04-14,Python,NOASSERTION,False,Framework for evaluating LLMs and LLM systems plus an open-source registry of benchmarks.
Platforms And Software,DeepEval,confident-ai/deepeval,https://github.com/confident-ai/deepeval,17629,2026-08-13,Python,Apache-2.0,False,The LLM evaluation framework.
Platforms And Software,lm-evaluation-harness,EleutherAI/lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness,13679,2026-08-14,Python,MIT,False,EleutherAI framework for few-shot evaluation of language models.
Platforms And Software,EverOS,EverMind-AI/EverOS,https://github.com/EverMind-AI/EverOS,12054,2026-08-15,Python,Apache-2.0,False,"Build, evaluate, and integrate long-term memory for self-evolving agents."
Platforms And Software,Phoenix,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,11076,2026-08-17,Python,NOASSERTION,False,AI observability and evaluation platform from Arize.
Platforms And Software,Oumi,oumi-ai/oumi,https://github.com/oumi-ai/oumi,9378,2026-08-17,Python,Apache-2.0,False,"Easily fine-tune, evaluate, and deploy gpt-oss, Qwen3, DeepSeek-R1, or any open source LLM/VLM."
Platforms And Software,Evidently,evidentlyai/evidently,https://github.com/evidentlyai/evidently,7811,2026-08-05,Jupyter Notebook,Apache-2.0,False,"Open-source ML and LLM observability framework — evaluate, test, and monitor any AI-powered system."
Platforms And Software,OpenCompass,open-compass/opencompass,https://github.com/open-compass/opencompass,7309,2026-08-12,Python,Apache-2.0,False,LLM evaluation platform supporting a wide range of models over 100+ datasets.
Platforms And Software,Helicone,Helicone/helicone,https://github.com/Helicone/helicone,6072,2026-08-16,TypeScript,Apache-2.0,False,"Open source LLM observability platform — monitor, evaluate, and experiment with one line of code."
Platforms And Software,Giskard OSS,Giskard-AI/giskard-oss,https://github.com/Giskard-AI/giskard-oss,5755,2026-08-17,Python,Apache-2.0,False,Open-source evaluation and testing library for LLM agents.
Platforms And Software,RouteLLM,lm-sys/RouteLLM,https://github.com/lm-sys/RouteLLM,5353,2024-08-10,Python,Apache-2.0,False,Framework for serving and evaluating LLM routers to save costs without compromising quality.
Platforms And Software,Ignite,pytorch/ignite,https://github.com/pytorch/ignite,4775,2026-08-13,Python,BSD-3-Clause,False,High-level library to help train and evaluate neural networks in PyTorch flexibly and transparently.
Platforms And Software,Agenta,Agenta-AI/agenta,https://github.com/Agenta-AI/agenta,4483,2026-08-17,TypeScript,NOASSERTION,False,"Open-source LLMOps platform — prompt playground, prompt management, LLM evaluation, and observability."
Platforms And Software,Harbor,harbor-framework/harbor,https://github.com/harbor-framework/harbor,4301,2026-08-17,Python,Apache-2.0,False,Framework for running agent evaluations and creating RL environments.
Platforms And Software,LangWatch,langwatch/langwatch,https://github.com/langwatch/langwatch,3492,2026-08-17,TypeScript,Apache-2.0,False,Platform for LLM evaluations and AI agent testing.
Platforms And Software,EvalScope,modelscope/evalscope,https://github.com/modelscope/evalscope,3246,2026-08-17,Python,Apache-2.0,False,"Streamlined and customizable framework for efficient large model (LLM, VLM, AIGC) evaluation and performance benchmarking."
Platforms And Software,HELM,stanford-crfm/helm,https://github.com/stanford-crfm/helm,2879,2026-08-01,Python,Apache-2.0,False,"Stanford CRFM's Holistic Evaluation of Language Models framework for transparent, reproducible evaluations."
Platforms And Software,OpenLIT,openlit/openlit,https://github.com/openlit/openlit,2693,2026-08-16,TypeScript,Apache-2.0,False,"Open source AI engineering platform: OpenTelemetry-native observability, evaluations, prompt management, guardrails."
Platforms And Software,Inspect AI,UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai,2562,2026-08-16,Python,MIT,False,UK AISI's framework for large language model evaluations.
Platforms And Software,LightEval,huggingface/lighteval,https://github.com/huggingface/lighteval,2518,2026-08-11,Python,MIT,False,Hugging Face's all-in-one toolkit for evaluating LLMs across multiple backends.
Platforms And Software,Evaluate,huggingface/evaluate,https://github.com/huggingface/evaluate,2476,2026-07-06,Python,Apache-2.0,False,Hugging Face library for easily evaluating ML models and datasets.
Platforms And Software,EvalAI,Cloud-CV/EvalAI,https://github.com/Cloud-CV/EvalAI,2040,2026-08-14,Python,NOASSERTION,False,Platform for evaluating state-of-the-art AI on community challenges.
Platforms And Software,PyKEEN,pykeen/pykeen,https://github.com/pykeen/pykeen,2024,2026-08-15,Python,MIT,False,Python library for learning and evaluating knowledge graph embeddings.
Platforms And Software,AlpacaEval,tatsu-lab/alpaca_eval,https://github.com/tatsu-lab/alpaca_eval,2012,2025-08-09,Jupyter Notebook,Apache-2.0,False,"Automatic evaluator for instruction-following language models — LLM-based, fast, cheap, replicable."
Platforms And Software,Evalite,mattpocock/evalite,https://github.com/mattpocock/evalite,1656,2026-04-28,TypeScript,MIT,False,Evaluate your LLM-powered apps with TypeScript.
Platforms And Software,GuideLLM,vllm-project/guidellm,https://github.com/vllm-project/guidellm,1513,2026-08-17,Python,Apache-2.0,False,Evaluate and enhance LLM deployments for real-world inference needs.
Platforms And Software,OpenEvals,langchain-ai/openevals,https://github.com/langchain-ai/openevals,1169,2026-08-12,Python,MIT,False,Readymade evaluators for LLM apps from LangChain.
Platforms And Software,Ollama Grid Search,dezoito/ollama-grid-search,https://github.com/dezoito/ollama-grid-search,951,2026-07-11,TypeScript,MIT,False,"Multi-platform desktop application to evaluate and compare LLM models, written in Rust and React."
Platforms And Software,OpenJudge,agentscope-ai/OpenJudge,https://github.com/agentscope-ai/OpenJudge,791,2026-08-03,Python,Apache-2.0,False,Unified framework for holistic evaluation and quality rewards.
Platforms And Software,Speculators,vllm-project/speculators,https://github.com/vllm-project/speculators,735,2026-08-17,Python,Apache-2.0,False,"Unified library for building, evaluating, and storing speculative decoding algorithms for LLM inference in vLLM."
Platforms And Software,SumEval,chakki-works/sumeval,https://github.com/chakki-works/sumeval,626,2026-04-13,Python,Apache-2.0,False,Well-tested multilingual evaluation framework for text summarization.
Platforms And Software,continuous-eval,relari-ai/continuous-eval,https://github.com/relari-ai/continuous-eval,515,2026-08-10,Python,Apache-2.0,False,Data-driven evaluation framework for LLM applications.
Platforms And Software,Promptimize,preset-io/promptimize,https://github.com/preset-io/promptimize,498,2026-05-25,Python,Apache-2.0,False,Prompt engineering evaluation and testing toolkit from Preset.
Platforms And Software,Bench,arthur-ai/bench,https://github.com/arthur-ai/bench,428,2026-03-15,TypeScript,MIT,False,A tool for evaluating LLMs from Arthur AI.
Platforms And Software,OLMES,allenai/olmes,https://github.com/allenai/olmes,391,2026-03-24,Python,Apache-2.0,False,"Reproducible, flexible LLM evaluations from AI2."
Platforms And Software,Eureka ML Insights,microsoft/eureka-ml-insights,https://github.com/microsoft/eureka-ml-insights,185,2026-06-16,Python,Apache-2.0,False,Microsoft framework for standardizing evaluations of large foundation models.
Platforms And Software,One-Eval,OpenDCAI/One-Eval,https://github.com/OpenDCAI/One-Eval,164,2026-07-29,Python,Apache-2.0,False,Automated system for LLM evaluation via agents.
Platforms And Software,Vivaria,METR/vivaria,https://github.com/METR/vivaria,141,2026-05-18,TypeScript,MIT,False,METR's tool for running evaluations and conducting agent elicitation research.
Platforms And Software,Eval (ai-twinkle),ai-twinkle/Eval,https://github.com/ai-twinkle/Eval,107,2026-04-11,Python,MIT,False,High-performance LLM evaluation framework with parallel API calls — up to 17× faster than sequential tools.
Platforms And Software,simple-llm-eval,cyberark/simple-llm-eval,https://github.com/cyberark/simple-llm-eval,67,2026-08-12,Python,Apache-2.0,False,"Simple LLM evaluation using LLM-as-a-judge, from CyberArk."
Platforms And Software,GAGE,HiThink-Research/GAGE,https://github.com/HiThink-Research/GAGE,52,2026-06-02,Python,,False,"Unified evaluation engine for LLMs, MLLMs, audio, and diffusion models."
Platforms And Software,MiroEval,MiroMindAI/MiroEval,https://github.com/MiroMindAI/MiroEval,46,2026-07-06,Python,Apache-2.0,False,Unified evaluation framework from MiroMind AI.
Platforms And Software,ai-eval,stellarlinkco/ai-eval,https://github.com/stellarlinkco/ai-eval,33,2026-02-08,Go,AGPL-3.0,False,Prompt evaluation and optimization system for LLM applications.
Platforms And Software,OmniEvalKit,OpenBMB/OmniEvalKit,https://github.com/OpenBMB/OmniEvalKit,11,2026-03-27,Python,Apache-2.0,False,"Modular toolbox for evaluating LLMs and their omni-extensions across modalities, languages, and tasks."
Platforms And Software,neuro-judge,furqan1pk/neuro-judge,https://github.com/furqan1pk/neuro-judge,0,2026-05-08,Python,MIT,False,"LLM-as-a-Judge evaluation framework — multi-model, multi-criteria, with cost tracking and HTML reports."
RAG & Retrieval,Ragas,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,15338,2026-02-24,Python,Apache-2.0,False,Supercharge your LLM application evaluations.
RAG & Retrieval,AutoRAG,Marker-Inc-Korea/AutoRAG,https://github.com/Marker-Inc-Korea/AutoRAG,5042,2026-08-16,TypeScript,NOASSERTION,False,Open-source framework for RAG evaluation and optimization with AutoML-style automation.
RAG & Retrieval,TruLens,truera/trulens,https://github.com/truera/trulens,3511,2026-08-14,Python,MIT,False,Evaluation and tracking for LLM experiments and AI agents.
RAG & Retrieval,RAG Experiment Accelerator,microsoft/rag-experiment-accelerator,https://github.com/microsoft/rag-experiment-accelerator,308,2026-06-19,Python,NOASSERTION,False,Microsoft framework for running experiments and evaluations on RAG pipelines.
RAG & Retrieval,RAG-grounding-eval,hriday1/RAG-grounding-eval,https://github.com/hriday1/RAG-grounding-eval,2,2026-05-19,Python,MIT,False,Evaluation harness for measuring grounding quality in RAG systems.
Refusal & Safety,Rogue,rogue-security/rogue,https://github.com/qualifire-dev/rogue,1058,2026-08-04,Python,NOASSERTION,False,AI Agent Evaluator & Red Team Platform.
Refusal & Safety,HarmBench,centerforaisafety/HarmBench,https://github.com/centerforaisafety/HarmBench,1029,2024-08-16,Jupyter Notebook,MIT,False,Standardized evaluation framework for automated red teaming and robust refusal.
Refusal & Safety,AgentDojo,ethz-spylab/agentdojo,https://github.com/ethz-spylab/agentdojo,752,2026-06-02,Python,MIT,False,Dynamic environment to evaluate attacks and defenses for LLM agents.
Refusal & Safety,CValues,X-PLUG/CValues,https://github.com/X-PLUG/CValues,561,2023-07-20,Python,Apache-2.0,False,Chinese LLM values benchmark — measures safety and responsibility across Chinese cultural/political context.
Refusal & Safety,Moonshot,aiverify-foundation/moonshot,https://github.com/aiverify-foundation/moonshot,347,2026-06-10,Python,Apache-2.0,False,Simple and modular tool to evaluate and red-team any LLM application.
Refusal & Safety,Do-Not-Answer,Libr-AI/do-not-answer,https://github.com/Libr-AI/do-not-answer,341,2024-06-07,Jupyter Notebook,Apache-2.0,False,"Dataset of questions LLMs should refuse, designed to evaluate safeguards."
Refusal & Safety,SafetyBench,thu-coai/SafetyBench,https://github.com/thu-coai/SafetyBench,297,2025-07-28,Python,MIT,False,First comprehensive benchmark evaluating LLM safety in Chinese and English across seven harm categories.
Refusal & Safety,StrongREJECT,alexandrasouly/strongreject,https://github.com/alexandrasouly/strongreject,158,2024-11-03,Jupyter Notebook,MIT,False,Rigorous benchmark for evaluating LLM jailbreak attacks and their effectiveness.
Refusal & Safety,XSTest,paul-rottger/xstest,https://github.com/paul-rottger/xstest,142,2025-02-24,Jupyter Notebook,CC-BY-4.0,False,Test suite for identifying exaggerated safety behaviours (over-refusal) in LLMs.
Refusal & Safety,WildGuard,allenai/wildguard,https://github.com/allenai/wildguard,135,2024-12-02,Python,NOASSERTION,False,"AI2's open, lightweight moderation tool for evaluating prompt harmfulness and refusal."
Refusal & Safety,SORRY-Bench,SORRY-Bench/sorry-bench,https://github.com/SORRY-Bench/sorry-bench,86,2025-03-01,Jupyter Notebook,MIT,False,Benchmark for systematically evaluating LLM safety refusal across 45 potentially unsafe topics.
Refusal & Safety,Flames,AI45Lab/Flames,https://github.com/AI45Lab/Flames,68,2024-05-21,,Apache-2.0,False,Highly-adversarial Chinese values alignment benchmark for evaluating refusal on sensitive topics.
Refusal & Safety,AgentDefense-Bench,arunsanna/AgentDefense-Bench,https://github.com/arunsanna/AgentDefense-Bench,14,2026-04-18,Python,Apache-2.0,False,Comprehensive security benchmark for evaluating infrastructure-layer defenses in MCP-based AI agent systems.
Refusal & Safety,Agent Security Sandbox,X-PG13/agent-security-sandbox,https://github.com/X-PG13/agent-security-sandbox,,,,,,Benchmark for evaluating defenses against indirect prompt injection in tool-using LLM agents.
Sycophancy & Dissent,sycophancy-eval,meg-tong/sycophancy-eval,https://github.com/meg-tong/sycophancy-eval,131,2023-10-25,Jupyter Notebook,,False,"Evals for measuring sycophancy in LLMs (from Anthropic's ""Towards Understanding Sycophancy"" paper)."
Vision Evals,OmniDocBench,opendatalab/OmniDocBench,https://github.com/opendatalab/OmniDocBench,1976,2026-07-27,Python,Apache-2.0,False,A comprehensive benchmark for document parsing and evaluation (CVPR 2025).
